第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
11. 委员会未经表决决定，建议大会通过下列决议草案(见第13段)。	11. The Committee decided, without a vote, to recommend to the Conference the adoption of a draft resolution (see para. 13).
83. 本报告强调说明的模式表明，性暴力并非是附带发生的，而是与极端主义团体的战略目标、意识形态和资金来源存在着内在联系。	83. The patterns highlighted in this report demonstrate that sexual violence is not incidental, but integrally linked with the strategic objectives, ideology and funding of extremist groups.
根据所适用的法律框架，受害的妇女可能被控通奸和遭受进一步伤害，使她们不愿寻求补救。	Under the applicable legal framework, women victims may be charged with adultery and exposed to further harm, which discourages them from seeking redress.
多米尼克Tarish Pit	Tarish Pit, Dominica
全球青年理事会将定期开会，以讨论项目建议书并编拟将提交联合国适当机构进一步考虑的报告。	The Global Youth Council would meet on a regular basis to discuss project proposals and prepare a report to be presented to an appropriate body of the United Nations for further consideration.
社交网络公司应当拟订这类措施以便与各国主管机关合作对发送垃圾邮件及其他网络犯罪相关做法实施有效监督。	Social networking companies should develop such measures with a view to cooperating with national authorities to exercise effective monitoring for scams and other cybercrime-related practices.
81. 总之，我要感谢我的西撒哈拉问题个人特使克里斯托弗·罗斯多次与双方和邻国进行协作。	81. In conclusion, I wish to thank my Personal Envoy for Western Sahara, Christopher Ross, for his repeated engagement with the parties and neighbouring States.
爱尔兰	Ireland
1. 发展阿塞拜疆、土耳其和土库曼斯坦企业和公司间的经济合作。	1. Developing economic cooperation among Azerbaijani, Turkish and Turkmen enterprises and companies.
三国外交部长指出，在最高级别达成的协议为在政治、能源、贸易-经济、文化和人道主义合作等不同领域进一步扩大三边关系打下了坚实的基础。	The Ministers for Foreign Affairs stated that the agreements reached at the highest level created a firm foundation for further expansion of trilateral ties in the different fields of political, energy, trade and economic, cultural and humanitarian cooperation.
36. 摩洛哥坚信，《不扩散核武器条约》第七条中规定的途径必将行之有效，即在世界范围内所有区域建立无核武器区，这是强化核不扩散制度的有效手段，能够在地区和国际范围内实现核裁军并巩固和平与安全。	36. Morocco remains convinced of the effectiveness of the approach set out in article VII of the NPT aimed at creation of nuclear-weapon-free zones in all regions of the world, as a useful means to strengthen the regime of nuclear non-proliferation in order to secure the realization of nuclear disarmament and the consolidation of peace and security regionally and internationally.
我们对安全理事会第2118(2013)号决议遭违反一事现已确信无疑，我们也知道哪一方该受谴责：叙利亚政权。	We now know incontrovertibly that Security Council resolution 2118 (2013) has been violated and we know which party is to blame: the Syrian regime.
现在该是执行安全理事会意愿的时候了。	It is high time that the will of the Security Council was enforced.
报告员： Chandra Bhushan先生	Rapporteurs: Mr. Chandra Bhushan
请将本信及其附件作为大会第七十届会议的文件分发为荷。	We should be grateful if you would have this letter and its annexes circulated as a document of the seventieth session of the General Assembly.
20. 正是在这一背景下，秘书长认为，没有必要设立一个高级别工作组来与其他部门协商，审查人权高专办的战略规划进程，并向大会提出有关报告。	20. It is in that context that the Secretary-General believes that it is unnecessary to establish a senior-level working group to review, in consultation with other departments, the OHCHR strategic planning process and to report thereon to the General Assembly.
该报告还确认，对方案事项的监督是通过方案和协调委员会进行的。	It also affirms that, through the Committee for Programme and Coordination, there is oversight of programme matters.
禁止裂变材料的努力涉及行动计划的行动15。	Efforts to ban fissile material relate to action 15 of the action plan.
瑞士鼓励各方支持秘书处目前开展的概念性工作。	Switzerland encourages all parties to support the current conceptual work of the secretariat.
现场目击者报告说看到叙利亚政权直升机投下桶式炸弹。	Witnesses at the site reported the use of barrel bombs ejected from Syrian regime helicopters.
通过儿基会成功的倡导和支持，东南非区域、拉美和加勒比区域和中西非区域一半以上的国家现在已有这种政策。	Through successful advocacy and support by UNICEF, more than half of the countries in ESARO, LACRO and WCARO now have such policies in place.
在国内流离失所者住所，强调要提供充分的储水能力，以减少妇女取水所耗时间。	In IDP shelters, emphasis was placed on providing adequate water storage capacity to reduce women's time burden in obtaining water.
联合国志愿人员	United Nations Volunteers
2015年5月3日，亚美尼亚共和国为该国在阿塞拜疆被占领土上建立的分裂主义傀儡政权举行了所谓的"议会选举"。	On 3 May 2015, the Republic of Armenia conducted the so-called "elections" to the "parliament" of the puppet separatist regime that it had established in the occupied territories of the Republic of Azerbaijan.
罗马尼亚外交部2015年5月4日表示，"2015年5月3日在纳戈尔诺-卡拉巴赫分离主义地区举行的所谓`议会选举'所依据的法律框架是非法的"，并重申罗马尼亚"一贯坚持不承认纳戈尔诺-卡拉巴赫地区独立的原则性立场"。	The Ministry of Foreign Affairs of Romania stated on 4 May 2015 that it "considers illegitimate the legal framework under which have been organized the so-called `parliamentary elections' on 3 May 2015 in the separatist region of Nagorno-Karabakh", and reiterated its "consistently asserted principled position of non-recognition of the independence of the Nagorno-Karabakh region".
第2221(2015)号决议	Resolution 2221 (2015)
6. 审计事项	6. Audit matters
这是特别委员会已经就波多黎各问题通过约33项决议和决定的原因所在。	This is why the Special Committee has adopted some 33 resolutions and decisions on Puerto Rico.
此外不结盟运动坚持认为，应及时执行委员会就对波多黎各殖民地问题通过的各项决议。	In addition, the Movement has insisted on the need for the timely implementation of the resolutions adopted by the Special Committee concerning the colonial case of Puerto Rico.
第七十届会议	Seventieth session
只要这种情况持续，落实本地驱动的发展、甚至是提供基本服务的财政空间将很小。	As long as this situation continues, there will be little fiscal space for locally driven development, or even for basic service delivery.
叙利亚呼吁安全理事会依据其相关决议，特别是第2170(2014)、2178(2014)和2199(2015)号决议，谴责这一恐怖主义行为，并切实采取严厉措施，打击恐怖主义团体以及为他们提供支持和赞助的国家。	Syria calls on the Security Council to condemn this act of terrorism and take tangible, stern measures against the terrorist groups and those States that support and sponsor them, in accordance with its relevant resolutions, in particular resolutions 2170 (2014), 2178 (2014) and 2199 (2015).
阿拉伯叙利亚共和国强调，这一针对无辜平民的懦弱的恐怖主义行为，不会成功动摇叙利亚各界人民在其悠久历史中始终保持的团结一致。	The Syrian Arab Republic stresses that this cowardly act of terrorism, which was aimed at innocent civilians, will not succeed in shaking the unity of the Syrian people in all its components, a trait that has characterized that people throughout its long history.
关于新喀里多尼亚的未来，共和国总统告诉民选官员，新喀里多尼亚人民将就领土是否享有完全主权的问题举行公民投票，公投时间将由领土议会决定，如果议会不选择一个时间的话，最晚不超过2018年会作出决定。	With respect to the future of New Caledonia, the President of the Republic reminded elected officials that a referendum among the people of New Caledonia on the question of the Territory's assumption of full sovereignty would take place on a date chosen by the Congress or, if the Congress did not choose a date, by 2018 at the latest.
2. 领土是法国本土法律制度的一部分，并有一些特别特点，诸如，在涉及有习惯法身份地位的人员之间的争端的案件中，有义务使用习惯法法官。	2. The Territory is part of the metropolitan French judicial system, with some special features such as the obligation to use customary judges in cases involving disputes between persons with customary civil status.
15. 注意到秘书长提出的基本建设总计划项目的最后费用是23.048亿美元；	15. Notes that the final cost of the capital master plan project, as presented by the Secretary-General, is 2,304.8 million dollars;
奉我国政府指示，谨提请你注意以下信息：	On instructions from my Government, I wish to draw your attention to the following:
行预咨委会获悉，这个类别下的新资源将包括用于支付联合国地雷行动处管理下的地雷行动经费2 275 500美元。	The Advisory Committee was informed that the new resources under the category would include an amount of $2,275,500 for mine action services managed under the United Nations Mine Action Service.
3. 重申强迫人口变化不可接受；	3. Reaffirms the unacceptability of forced demographic changes;
定于2015年4月9日星期四上午10时举行	To be held Thursday, 9 April 2015, at 10 a.m.
定于2015年5月19日星期二上午10时举行	To be held on Tuesday, 19 May 2015, at 10 a.m.
立陶宛共和国常驻代表团还谨随函附上立陶宛根据第2206 (2015)号决议第17段编写的报告(见附件)。	The Permanent Mission of the Republic of Lithuania has the further honour to enclose Lithuania's report pursuant to paragraph 17 of resolution 2206 (2015) (see annex).
5. 在某些核武器国家以及核联盟的核战略、理念和政策中，在特定情况下对无核武器国家使用核武器是允许的。	5. Under the nuclear strategies, concepts and policies of certain nuclear-weapon States as well as the nuclear alliance, the use of nuclear weapons against nonnuclear-weapon States in specific circumstances is authorized.
伊朗伊斯兰共和国提交的工作文件	Working paper submitted by the Islamic Republic of Iran
因特网学会总部设在美国，在欧洲、亚太地区、非洲、拉丁美洲和加勒比、中东和北非设有区域局。	The Internet Society is based in the United States, with regional bureaus in Europe, the Asia-Pacific region, Africa, Latin America and the Caribbean, the Middle East and North America.
定于2015年4月15日星期三上午10时举行	To be held on Wednesday, 15 April 2015, at 10 a.m.
关于实施情况审议组任务授权实施工作的进度报告	Progress report on the implementation of the mandates of the Implementation Review Group
定于2015年5月19日星期二下午3时举行	To be held on Tuesday, 19 May 2015, at 3 p.m.
2013年，15至24岁的年轻人占全球艾滋病毒新增感染人数的31%，其中57%为青春期少女和年轻妇女[1]。	In 2013, young people aged 15-24 accounted for 31 per cent of new HIV infections globally, with 57 per cent of those new infections in this age group occurring among adolescent girls and young women [1].
2013年，实际的国际支出略有上升，但传统资金来源的新供资承诺减少了3％[18]，而且防治所需资源与投资之间仍有显著的差距。	While actual international disbursements rose marginally in 2013, commitments to new funding from traditional funding sources decreased by 3 per cent [18] and there remains a significant gap between the resources needed and the investment made in AIDS resources.
考虑到乌克兰为维护国际和平与安全做出了重大长期贡献，包括参加联合国维持和平行动，	Considering the important long-term contribution of Ukraine to the maintenance of international peace and stability, including through participation in the United Nations peacekeeping operations,
3. 强调指出检查组在查明参加组织管理、行政和方案方面的具体问题并向大会和其他参加组织的立法机关提出改进和加强整个联合国治理的切实可行和重在行动的建议方面所负监督职能的重要性；	3. Stresses the importance of the oversight functions of the Unit in identifying concrete managerial, administrative and programming questions within the participating organizations and providing the General Assembly and other legislative organs of participating organizations with practical and action-oriented recommendations to improve and strengthen the governance of the United Nations as a whole;
一架土耳其军用直升机未经外交许可，也未与尼科西亚地区管制中心联系，即进入尼科西亚飞行情报区，违反了国际空中交通管制条例。	One Turkish military helicopter infringed international air traffic regulations by entering the Nicosia FIR without diplomatic permit or contacting the Nicosia ACC.
一架C-160型土耳其军用飞机未经外交许可，也未与尼科西亚地区管制中心联系，即进入尼科西亚飞行情报区，违反了国际空中交通管制条例。	One C-160 Turkish military aircraft infringed international air traffic regulations by entering the Nicosia FIR without diplomatic permit or contacting the Nicosia ACC.
45. 在第四次妇女问题世界会议以及题为"2000年妇女：二十一世纪性别平等、发展与和平"的大会第二十三届特别会议的后续行动框架内，各区域委员会与联合国促进性别平等和增强妇女权能署合作并协作，举行了区域审查。	45. In the framework of the follow-up to the fourth World Conference on Women and to the twenty-third special session of the General Assembly entitled "Women 2000: gender equality, development and peace for the twenty-first century", the regional commissions held regional reviews, in partnership and collaboration with the United Nations Entity for Gender Equality and the Empowerment of Women.
与此同时，这一类别下的未用余额将划拨给核心活动自愿捐款特别帐户。	At the same time the unutilized balances under this category will be transferred to the Special Account of Voluntary Contributions for Core Activities.
30. 决策机关将在既定方案和预算核定程序框架下审查主要资本投资基金的使用情况，以便除其他外，在考虑所收到或认捐的预算外捐款用于支付基金涵盖的项目、执行率，以及因环境或优先顺序变化而调整资本投资时间表等因素之后，在经常预算范围内确定基金结余是否充足以及所需拨款的数额。	Operations of the MCIF will be reviewed by the policymaking organs in the framework of the established programme and budgets approval process to determine, inter alia, the adequacy of the fund balance and the level of allocations required within the regular budget after considering such factors as extrabudgetary contributions received or pledged for items covered by the Fund, rate of implementation, and adjustments to the schedule of capital investments due to changes in circumstances or prioritization.
11时15分，在接触线上Ashaghi Abdurakhmanli村附近，士兵Davit Avdalyan在阵地遭阿方袭击而受伤。	At 1115, near the village Ashaghi Abdurakhmanli, on the line of contact, soldier Davit Avdalyan, in the combat position, was wounded from the Azerbaijani side.
小组讨论由委员会副主席穆罕默德·巴希(苏丹)担任主席，并由联合国社会发展研究所高级研究员兼前任赤贫和人权问题特别报告员玛格达莱娜·塞普尔韦达·卡尔莫纳主持。	The discussion was chaired by the Vice-Chair of the Commission (Sudan), Mohamed Elbahi, and was moderated by the Senior Research Fellow at the United Nations Research Institute for Social Development and former Special Rapporteur on extreme poverty and human rights, Magdalena Sepúlveda Carmona.
有效问责制度和监督机制的例子包括议会审查、同行审查机制、部际工作队和健全的国家报告制度。	Examples of effective accountability systems and monitoring mechanisms included parliamentary reviews, peer-review mechanisms, interministerial task forces and robust systems of national reporting.
2. 截至2015年3月31日，驻科部队在行动区的总人数保持约4 600人。	2. As of 31 March 2015, the total number of KFOR troops in theatre remained approximately 4,600.
乔治·巴尔蒂斯奥塔斯先生(美利坚合众国)***	Mr. George Bartsiotas (United States of America)***
苏凯·埃利·普罗-杰克逊女士(冈比亚)***	Ms. Sukai Elie Prom-Jackson (Gambia)***
大韩民国	Republic of Korea
根据《联合国宪章》第七章采取行动，	Acting under Chapter VII of the Charter of the United Nations,
将现有案文改为：	For the existing text substitute
例如，2012年10月16日，就秘书长防止灭绝种族罪行问题特别顾问的各个优先事项举办了情况介绍会。	For example a briefing on the priorities of the Special Adviser to the Secretary-General on the Prevention of Genocide was given on 16 October 2012
大会主席提出的决议草案	Draft resolution submitted by the President of the General Assembly
2. 有关伊拉克的局势	2. The situation concerning Iraq
22. 核查问题是裁军和军备管制进程的核心，并且南非认为，它是这项进程的关键部分。	22. The issue of verification lies at the heart of the disarmament and arms control process and in South Africa's view forms a critical element of that process.
南非一直以本国代表身份并在它参加的政治、区域和其他聚会中全力推动《全面禁核试条约》以及促使各国早日签署和批准这项条约使其生效，特别是条约生效必须得到它们批准的那些国家。	South Africa has worked on a continuous basis, both in its national capacity and in the context of the political, regional and other groupings in which it participates, to promote the CTBT in general and also to promote its entry into force through the early signature and ratification of the Treaty, especially by those States whose ratification are required for its entry into force.
武装恐怖主义团体犯下屠杀和危害人类罪，最近一次是Mab`ujah的屠杀，因此，爱好和平的国家确实必须而且有义不容辞的责任，对支持和资助针对叙利亚及其人民实施无差别恐怖主义行径达四年多的这些国家采取惩罚性措施。	The massacres and the crimes against humanity committed by armed terrorist groups, the latest of which was the Mab`ujah massacre, makes it imperative for, indeed, incumbent on, peace-loving States to take punitive measures against those States that support and fund the indiscriminate terrorism that has been directed against Syria and its people for more than four years.
它还分析了区域内面临的若干经济挑战，并讨论了几项关键的政策选项。	The section also contains analyses of some of the economic challenges faced in the region, as well as a discussion of some key policy options.
这一扩展几乎在所有这些经济体中发生，但这些增长主要由巴布亚新几内亚的矿产资源生产所推动，因为巴布亚新几内亚在这些经济体的产出中占将近60%。	The expansion took place in nearly all those economies, but growth was driven mainly by mineral resource production in Papua New Guinea, which accounts for close to 60 per cent of the output of those economies.
该政权的行为正在一步步将叙利亚变成一个崩溃的国家，对区域乃至整个世界的安全与稳定构成威胁。	The regime's actions are now on the way to making Syria into a failed State, posing a threat to the security and stability of the region and of the world as a whole.
美国及其他国际捐助方对"和平利用核能倡议"的捐款，使原子能机构具有更大的灵活性和更多的资金，以支持高度优先的原子能机构成员国项目，并应对未预见到的挑战，有时是仓促应对。	Contributions to the PUI from the United States and other international donors have provided the IAEA with additional flexibility and resources to support high priority IAEA Member State projects and to respond to unforeseen challenges, sometimes on short notice.
国际海洋法法庭是根据《联合国海洋法公约》设立的国际司法机构，负责裁判因解释或适用《公约》而引起的争端。	The International Tribunal for the Law of the Sea is an international judicial body established by the United Nations Convention on the Law of the Sea to adjudicate disputes arising out of the interpretation or application of the Convention.
利比里亚	Liberia
20. 部长会议除其他外核可了《2014-2024十年期内陆发展中国家维也纳行动纲领》，请非洲经济委员会执行秘书在其任务范围内酌情将《维也纳行动纲领》纳入委员会工作方案的主流，并按照其中第75段的要求提交《行动纲领》执行情况的分析报告。	20. The Conference of Ministers, inter alia, endorsed the Vienna Programme of Action for Landlocked Developing Countries for the Decade 2014-2024 and requested the Executive Secretary of the Economic Commission for Africa to mainstream the Vienna Programme of Action into the programme of work of the Commission, as appropriate and within its mandate, and to submit analytical reports on the implementation of the Programme of Action, as called for in its paragraph 75.
联合国继续优先重视和加强及时征聘和部署有技能和有经验的人道主义工作人员，同时继续致力于地域多样性和性别均衡需求。	The United Nations continues to prioritize and strengthen the timely recruitment and deployment of skilled and experienced humanitarian staff, while remaining committed to the need for diversity in geographical representation and gender balance.
开发署已经制订了新的合同管理政策，在这项政策在本组织全面启用和实施之前，目前正在进行最后阶段的审查和磋商。	UNDP has developed a new contract management policy which is in the final stages of review and consultation before it is launched and implemented across the organization.
法律投诉机制	Legal complaint mechanism
联合国人类住区规划署的活动	Activities of the United Nations Human Settlements Programme
2016-2017两年期，这些综合资源在重计费用前估计为446 158 100美元，与2014-2015两年期批款相比净减989 900美元(相当于0.2%)。	For the biennium 2016-2017, these consolidated resources are estimated in the amount of $446,158,100 before recosting, reflecting a net decrease of $989,900 (0.2 per cent) compared with the appropriation for the biennium 2014-2015.
奉我国政府指示，谨随函向你转递第二次莫斯科协商会议就会议主持人提出的关于对叙利亚目前局势的评估的第一个议程项目商定的几点意见(见附件)。	On instructions from my Government, I transmit to you herewith the points that were agreed on at the second Moscow consultative meeting in relation to the first agenda item proposed by the meeting's facilitator, which concerns the assessment of the current situation in Syria (see annex).
杂项收入	Miscellaneous income
国际社会一贯最强烈地谴责对阿塞拜疆使用军事力量并占领其领土。	The international community has consistently deplored, in the strongest terms, the use of military force against Azerbaijan and the resulting occupation of its territories.
在今后几个月里，这些报告将产生详细的路线图，以帮助进行抵制外国恐怖主义战斗人员威胁的能力建设。	In the coming months, the reports will produce a detailed road map to assist in the building of capacity to resist the threat of foreign terrorist fighters.
文本处理：	Text-processing:
这一程序的主要工作内容是搜寻并审阅大量文件，以确定是否披露，同时按照审判分庭的命令就有关问题编写两份主要呈件。	This process has involved, among other tasks, searching for and reviewing a significant number of documents for disclosure purposes, as well as preparing two major submissions on related issues at the order of the Trial Chamber.
除非出现意外情况，判决估计可在2015年第四季度作出。	It is estimated that the judgement could be rendered in the last quarter of 2015, unless unforeseen circumstances arise.
2. 通过议程和其他组织事项。	2. Adoption of the agenda and other organizational matters.
1. 根据经济及社会理事会第1894(LVII)号决议，按照现行立法授权，拟订人口与发展委员会第四十九届会议临时议程如下。	1. The provisional agenda for the forty-ninth session of the Commission on Population and Development set out below has been prepared on the basis of existing legislative authority, in accordance with Economic and Social Council resolution 1894 (LVII).
联合国中非共和国和乍得特派团资产的最后处置	Final disposition of the assets of the United Nations Mission in the Central African Republic and Chad
定于2015年3月26日星期四下午3时举行	To be held on Thursday, 26 March 2015, at 3 p.m.
残疾人权利委员会2013年和2014年届会的报告	Report of the Committee on the Rights of Persons with Disabilities on its 2013 and 2014 sessions
近几个月来，叙利亚政府任凭恐怖分子将其领土当作发射基地，用以安置路边炸弹，向以色列境内发射火箭和对以色列境内的以色列国防军进行射击。	In recent months, the Syrian Government has allowed terrorists to use its territory as a launching base to plant roadside bombs, fire rockets into Israel and open fire on Israel Defense Forces inside Israel.
技能挑战是指如何有效完成这些既定目标和调动必要资源。	The challenge of skill was about how to deal effectively with such established goals and how to mobilize the necessary resources.
有代表呼吁加强民间社会和青年对2015年后发展议程的参与。	There was a call to strengthen the engagement of civil society and young people in the post-2015 development agenda.
1. 接受关于联合国维持和平行动2013年7月1日至2014年6月30日期间的财务报告和已审计财务报表；1	1. Accepts the financial report and audited financial statements of the United Nations peacekeeping operations for the period from 1 July 2013 to 30 June 2014;1
保护工作队的活动免受既得利益的不当影响	Protect activities of the Task Force from undue influence by vested interests
但毕业率，特别是女孩和年轻姑娘的毕业率仍然很低，平均仅为37%，而且能毕业的多为收入较高的城市人口。	However, completion rates, especially for girls and young women, remain low on average, at 37 per cent, and highly skewed towards higher-income urban populations.
入学儿童人数从1990年的6 200万增加到了2012年的1.49亿，但资源却未能跟上入学人数的增长速度(非洲经委会等，2014年)。	The number of children enrolled in school has increased from 62 million in 1990 to 149 million in 2012 but resources have failed to keep up with this increase (ECA and others, 2014).
大会临时议程	Provisional agenda of the Assembly
所有类型森林的可持续管理对于消除贫穷、经济增长及体面就业、粮食安全及营养、性别平等、治理、健康、水的质量及供应、能源生产、减缓和适应气候变化、生物多样性保护、可持续土地管理、流域保护和减少灾害风险至关重要。	The sustainable management of all types of forests is vital to poverty eradication, economic growth and decent employment, food security and nutrition, gender equality, governance, health, water quality and supply, energy production, climate change mitigation and adaptation, biodiversity conservation, sustainable land management, watershed protection and disaster risk reduction.
3. 按照议事规则第3条，大会根据主席的提议，任命下列国家为全权证书委员会成员：保加利亚、智利、克罗地亚、吉尔吉斯斯坦、挪威和越南。	3. In accordance with rule 3 of the rules of procedure, the Conference, on the proposal of the President, appointed the following countries as members of the Credentials Committee: Bulgaria, Chile, Croatia, Kyrgyzstan, Norway and Viet Nam.
关于根据法庭判决和命令采取的行动的函件和信息	Communications and information concerning action taken pursuant to judgments and orders of the Tribunal
33. 国际原子能机构应秉承《规约》确定的宗旨，保持防止核武器扩散与和平利用核能两类活动的平衡发展。	33. The IAEA should observe the principles set forth in its Statute and maintain the balanced development of activities to prevent nuclear weapons proliferation and to peacefully use nuclear energy.
存在着关于儿童待遇的国际标准，巴勒斯坦儿童也不能例外。	There are international standards for the treatment of children, and Palestinian children are no exception.
瑞士认为，这项文书应当具有多边性、非歧视性，并可有效加以核查，应当涵盖裂变材料今后的生产和现有的库存。	Switzerland is of the view that such an instrument should be of a multilateral character, non-discriminatory and effectively verifiable and should cover the future production and existing stocks of fissile material.
因此，瑞士是核安全领域所有国际公约的缔约国。	Switzerland therefore is a State party to all international conventions in the field of nuclear safety.
超支的主要原因是两名法官的任期于2014年9月届满，但依照《法庭规则》的规定在2014年10月至2014年12月期间继续审理第21号案件。	This overexpenditure was due mainly to the fact that two judges whose term ended in September 2014 continued to sit in case No. 21, in accordance with the Rules of the Tribunal from October 2014 until December 2014.
在利比里亚，我代表建设和平委员会利比里亚组合，与政府、本国利益攸关方和国际伙伴进行了讨论，重点是建设和平委员会如何能最好地支持埃博拉后的恢复进程，以及联合国利比里亚特派团(联利特派团)缩编工作的筹备。	In Liberia, on behalf of the Liberia configuration of the Peacebuilding Commission, my discussions with the Government, national stakeholders and international partners focused on how the Commission can best support the post-Ebola recovery process and the preparation for the drawdown of the United Nations Mission in Liberia (UNMIL).
1. 《不扩散核武器条约》预计将在横向和纵向方面防止扩散，并且在彻底消除核武器的同时，保护和平利用核能的不可剥夺的权利。	1. The Treaty on the Non-Proliferation of Nuclear Weapons was foreseen as a way to prevent proliferation, both horizontally and vertically, and bring about the total elimination of nuclear weapons while protecting the inalienable right to peaceful uses of nuclear energy.
2. 通过议程和安排工作。	2. Adoption of the agenda and organization of work.
5. 关于"土著人民：冲突、和平与解决冲突"主题的讨论。	5. Discussion on the theme "Indigenous peoples: conflict, peace and resolution".
这一机制尤其被威慑论所削弱，根据该理论，核武器国家有权在某些情况下使用核武器打击无核武器国家。	7. This system is further weakened by doctrines of deterrence whereby the nuclear-weapon States have granted themselves the right to use nuclear weapons against non-nuclear-weapon States in certain circumstances.
《无核武器区条约议定书》框架内规定的保证措施存在缺陷，且有与第984号决议框架所给予的保证相同的附带条件。	With regard to the safeguards embodied in the framework of protocols to nuclear-weapon-free zone treaties, these suffer from certain shortcomings and are subject to the same conditions as safeguards granted in the framework of Resolution No. 984.
3. 12月29日，政府在常设对话框架内恢复了与前执政党科特迪瓦人民阵线(科人阵)的政治对话。	3. Political dialogue between the Government and Front populaire ivoirien (FPI), the former ruling party, resumed on 29 December, within the context of the permanent framework for dialogue.
科特迪瓦共和军在训练、纪律方面仍然面临体制上的差距，而且民众信心低落。	FRCI continued to face institutional gaps in terms of training, discipline and low public confidence.
2. 非会员国罗马教廷也提供了奖学金。	2. One non-member State, the Holy See, has also offered scholarships.
第五委员会	Fifth Committee
7. 最后，难以理解如何在区域各国之间没有直接对话的情况下解决阿拉伯国家集团提出的任何裁军、军备控制和区域安全问题。	7. Ultimately, it is difficult to understand how any disarmament, arms control and regional security issues can be addressed without any direct dialogue between the regional States, as the Group of Arab States suggests.
关于失踪的科威特人员和遗失的科威特财产情况的档案方面是否取得进展是两国关系充分正常化的中心问题，而双方感兴趣的其他方面也有深远影响。	Progress on the file of missing Kuwaiti persons and property is central to the full normalization of relations between the two countries and will have far-reaching implications on other aspects of mutual interest.
8. 3月11日和12日，伊拉克人权部与外交部合作，在当地日报刊登了一份通告，寻找了解失踪科威特国民和第三国国民以及失踪科威特财产情况的证人。	8. On 11 and 12 March, the Iraqi Ministry of Human Rights, in cooperation with the Ministry of Foreign Affairs, published an announcement in local daily newspapers in an attempt to identify witnesses with knowledge of missing Kuwaiti and third-country nationals and missing Kuwaiti property.
和平利用核能的决定属于各缔约国主权范畴。	9. The decision to use nuclear energy for peaceful purposes is within the sovereign domain of each State party.
1. 注意到秘书长关于第三次发展筹资问题国际会议拟议工作安排的说明；	1. Takes note of the note by the Secretary-General on the proposed organization of work of the third International Conference on Financing for Development;
在这方面，我们公开欢迎奥巴马总统在2013年6月阐述的建议，即，进一步深化削减工作并摒弃当前的态势。	In this regard, we have publicly welcomed the proposals formulated by President Obama in June 2013 to further deepen the reductions and to move beyond the current posture.
1. 选举主席团成员。	1. Election of officers.
在每次招聘会结束后将进行"行动后审查"，以着重总结经验教训并为今后活动提出建议，来改善向工作人员提供的服务。	Following the completion of each job fair "after action reviews" will be carried out to highlight lessons learned and propose recommendations for future activities that would improve the services provided to staff.
临时职位	Temporary positions
此外，该组织还"敦促国际社会向以色列施加压力，以迫其放弃其所拥有的核武器，立即无条件地加入《不扩散核武器条约》，并立即将其所有未受保障监督的核设施置于原子能机构的全面保障监督之下"。	Moreover, the Organization "urges the international community to exert pressure on Israel to renounce possession of its nuclear weapons, to accede to the Treaty on the Non-Proliferation of Nuclear Weapons without further delay and any conditions, to place promptly all its unsafeguarded nuclear facilities under IAEA full-scope safeguards".
11. 审议要求核准"区域"内勘探工作计划的申请，以期予以核准。	11. Consideration, with a view to approval, of applications for approval of plans of work for exploration in the Area.
4. 选举副主席。	4. Election of the Vice-Presidents.
行政领导和管理	B. Executive direction and management
联合国志愿人员财务干事职位调往人力资源管理科	United Nations Volunteers Finance Officer position redeployed to Human Resources Management Section
民政事务干事员额改叙为P2 (调自治理科)	Civil Affairs Officer post reclassified to P-2 (from Governance Section)
他们还回顾了以持久和综合的办法向索马里人民和联邦政府提供的重大支助。	They also recalled their significant support to the people and the Federal Government of Somalia, in a sustained and integrated approach.
费尔特曼先生说，他与这三个国家总统和相关利益攸关方讨论了筹备这三个国家在2015年和2016年的大选问题，并重申联合国致力于为这些选举提供技术援助。	Mr. Feltman said that he had discussed preparations for the three countries' general elections in 2015 and 2016 with the three presidents and relevant stakeholders, and reaffirmed that the United Nations was committed to providing technical assistance for the elections.
5. 布隆迪政府对此次暴乱中失去子女、朋友或亲人的家庭表示诚挚的哀悼，再次声援受伤的警察，并重申政府决心采取一切可能的手段，确保全国人民及其财产的安全。	5. The Government of Burundi expresses its sincere condolences to the families that have lost children, friends or relatives during this insurrection, reiterates its solidarity with injured police officers and reaffirms its determination to ensure the security of persons and property throughout the country using all means at its disposal.
6. 布隆迪政府呼吁国际社会为了全体布隆迪人民的利益，继续支持选举进程，以此作为保障和平、巩固民主和推动全国和解的唯一途径。	6. The Government of Burundi calls on the international community to maintain its support for the electoral process, which is the only way to guarantee peace, consolidate democracy and promote national reconciliation, on behalf of all Burundians.
目标：确保工发组织的财务健全、可信和透明。	Objective: To ensure the financial integrity, credibility and transparency of UNIDO.
印刷和装订	Printing and binding
联合国系统人道主义行动的资金筹措	Financing for humanitarian operations in the United Nations system
因此，检查专员欢迎制定基本建设总计划，预测各组织的长期翻修/施工需要，以作为联合国系统内标准的良好做法。	Therefore, the Inspectors welcomed the establishment of capital master plans that forecast the organizations' long-term refurbishment and construction needs as a standard good practice within the United Nations system.
议程项目107	Agenda item 107
